Nir_610nm,Nir_680nm,Nir_730nm,Nir_760nm,Nir_810nm,Nir_860nm,Blood_Prediction
3067.186084,158.4357086,219.6497498,721.9857666,2773.99082,1453.432934,0
3068.962695,156.7290405,215.0304077,713.5602661,2769.651904,1454.375879,0
3070.739307,159.5734863,223.1142578,726.8003296,2782.255371,1455.1302,0
2598.415527,711.1117798,1379.104809,2489.135693,4125.655371,2312.442431,0
2634.962842,652.8006104,1183.244666,2243.993579,3978.959912,2263.598779,0
2665.672754,509.7249268,1013.714783,1957.125049,3823.379981,2195.141944,0
2677.347607,531.6271729,949.7368774,1916.602344,3747.139697,2223.995654,0
2639.277442,550.969397,997.0851442,1921.216309,3692.387158,2243.985742,0
2653.236572,547.5560669,964.2878052,1955.118994,3721.519629,2249.077588,0
2642.830664,577.4227539,1040.737915,1994.437988,3729.370947,2297.167041,0
2651.459863,662.4717407,1191.559473,2279.701611,3960.98457,2400.889356,0
2627.348779,720.4984619,1221.354224,2382.613183,3948.381104,2368.829736,0
2637.247022,700.8717774,1180.704028,2347.707471,3944.455469,2340.353223,0
2660.089111,667.3072998,1190.866577,2273.884033,3938.670312,2382.97373,0
2646.637744,725.049585,1213.963306,2398.661767,3948.381103,2365.623779,0
2655.266943,684.9428589,1186.247241,2357.33667,3950.034033,2328.849463,0
2680.393213,645.1206177,1150.216357,2279.902246,3957.678711,2346.388037,0
2677.601367,645.973938,1131.738989,2241.786816,3926.273437,2355.628711,0
2678.362891,637.440625,1120.190625,2172.176123,3889.90957,2365.435205,0
2683.185058,645.9739502,1139.12998,2189.82959,3884.537549,2367.132422,0
2693.083301,671.0050659,1142.825439,2249.008642,3874.000293,2334.507129,0
2666.434229,680.6761963,1128.04353,2294.345947,3897.554248,2331.112549,0
2673.540625,655.9295044,1113.72356,2254.625733,3907.884912,2330.735352,0
2751.965186,709.1206787,1683.288501,3011.717676,4469.873242,2465.951611,0
2754.249365,676.125061,1580.970068,2881.122412,4398.385059,2477.266797,0
2827.85166,649.3872803,1557.411401,2847.821533,4408.715527,2521.773047,0
2797.903174,679.822876,1478.882593,2809.906787,4262.84668,2517.435596,0
2826.328857,689.7784302,1403.125391,2803.687988,4170.283838,2547.797901,0
2792.319483,701.4406616,1408.668579,2816.326123,4185.779834,2561.941944,0
2776.330029,664.7472901,1429.224658,2769.183496,4195.903906,2541.197412,0
2784.705518,731.3073486,1360.627393,2841.80332,4093.630224,2555.152783,0
2827.344092,707.1295532,1417.214356,2844.611816,4199.622949,2581.366309,0
2833.181445,702.5784302,1423.219507,2834.982666,4196.317188,2574.954346,0
2827.597852,689.778418,1436.615625,2826.958399,4215.945508,2570.239697,0
2815.66919,671.2895142,1411.671191,2765.371924,4179.787988,2567.03374,0
2748.411963,647.111731,1383.03125,2690.946631,4114.498291,2551.003955,0
2789.527686,643.1295044,1407.051831,2724.849268,4170.69707,2560.433203,0
2795.111328,680.6762207,1257.385107,2673.694434,3935.364453,2540.820264,0
2646.891504,671.2895264,1270.550244,2645.408789,3864.702734,2507.817725,0
2804.502002,696.3206665,1263.159302,2687.736914,3897.554199,2535.539893,0
2558.568701,690.916211,1182.551733,2587.834473,3632.262695,2437.475049,0
2647.145361,698.596228,1174.929859,2580.412012,3621.312158,2432.383252,0
2776.076221,717.9384522,1214.194263,2690.344824,3794.247558,2525.35625,0
2763.63999,220.4446564,1064.989502,1394.421509,3306.433447,1859.647314,0
2716.179248,236.0891113,1062.217895,1518.396826,3316.557471,1918.674756,0
2719.478564,273.6358154,1175.160816,1818.104175,3614.493946,2088.402246,0
2729.123096,301.7958374,1247.915454,2042.984961,3851.272803,2199.290869,0
2724.808399,301.2269532,1185.32334,1976.985132,3778.131689,2161.007861,0
2724.808447,283.3069336,1106.101624,1888.316748,3735.569336,2156.293237,0
2715.164014,283.0224854,1006.55481,1782.997925,3486.393652,2078.407227,0
2712.626025,271.0758118,1021.798621,1758.925024,3541.972607,2088.402271,0
2720.493848,264.5335815,1039.814063,1730.037573,3535.774268,2084.819116,0
2715.671631,256.5691253,984.151001,1650.195874,3376.681982,2023.340064,0
2722.524219,257.9913574,1041.892773,1696.937353,3529.369238,2083.310401,0
2714.402588,250.0269043,996.3922486,1623.113843,3362.219092,2013.344971,0
2711.610693,243.2002289,975.1432496,1560.123145,3253.54043,1963.181128,0
2704.504346,239.5024506,919.4801758,1494.32395,3096.514258,1901.513452,0
2704.504395,236.6580017,942.8078736,1497.934863,3127.919531,1907.925342,0
2702.220117,236.0891113,945.5794799,1513.181055,3191.556397,1923.955224,0
2700.697314,236.3735565,903.0815186,1462.628003,3027.092187,1867.37937,0
2694.352295,233.8135559,903.0815063,1447.381836,3007.463916,1863.04187,0
2693.844726,233.2446655,895.4596069,1435.345386,2974.40581,1852.858228,0
2692.829444,230.9691131,908.3937744,1439.357544,3007.877149,1857.007129,0
2350.705615,700.3028809,769.1205811,1618.098682,2219.85376,1160.370166,1
2369.486914,690.6317749,756.6483398,1600.64585,2220.886914,1160.747363,1
2369.486865,678.9695435,749.9503052,1594.226416,2221.50669,1161.690308,1
2379.385156,672.427295,755.0315796,1592.621582,2231.837402,1165.650537,1
2377.862402,667.0228394,742.0974365,1581.588159,2228.944873,1164.707617,1
2378.877539,674.1339722,751.5670654,1589.411841,2228.531592,1164.896191,1
2378.116113,664.7472901,742.790332,1579.582056,2228.738232,1164.707617,1
2377.608545,666.1695068,746.9477295,1583.99541,2230.184472,1165.27334,1
2379.638965,666.7384156,745.330957,1582.390576,2229.358056,1164.707642,1
2384.714991,672.4273072,761.036731,1594.427027,2234.730029,1166.782031,1
2383.192139,672.9962036,760.8057617,1595.028833,2232.870459,1165.650537,1
2384.461182,674.9873169,770.0444458,1601.247656,2236.589502,1166.593457,1
2384.461182,676.4095459,772.81604,1602.651904,2236.5896,1166.216284,1
2383.953565,673.849524,769.5825195,1600.044019,2235.556494,1166.216284,1
2383.699756,674.7028565,777.6663574,1606.062231,2236.589502,1166.216308,1
2383.192139,675.271753,770.9683228,1599.442212,2235.349853,1165.273364,1
2384.461182,675.2717408,773.50896,1603.454346,2236.589502,1166.970654,1
2385.476416,673.5650879,773.50896,1602.852515,2237.82915,1166.97063,1
2387.506836,677.5473023,778.1282959,1606.664063,2238.03584,1167.725,1
2389.029541,679.5384278,783.6714966,1612.682251,2239.48208,1168.290723,1
1829.144385,698.0273316,713.4574951,1297.728784,1552.4927,839.0194824,1
1857.062525,680.9606446,691.9775635,1275.461328,1557.244775,841.4711059,1
1858.585328,677.5473023,691.5156128,1273.655884,1557.658008,842.2254516,1
1858.331543,668.7295288,676.5027588,1261.418848,1557.244775,842.0368652,1
1856.554956,658.7739502,664.4924683,1250.786645,1556.211768,841.6596924,1
1857.316358,659.3428345,666.802124,1252.592139,1556.831567,842.0368652,1
1856.047315,654.7917236,658.9492554,1245.370288,1555.591943,841.2825195,1
1857.570142,655.9295044,664.261499,1249.382422,1556.831543,842.0368652,1
1857.062549,659.3428467,667.956958,1252.993359,1555.79856,841.0939331,1
1858.585328,658.7739502,671.4214844,1253.595166,1557.451416,842.4140381,1
1857.570142,657.6361572,666.3401856,1250.586035,1557.244775,842.2254516,1
1858.585328,654.5072876,665.416333,1249.181811,1557.2448,841.8482788,1
1859.346728,654.7917359,667.4950195,1250.586035,1558.691089,843.1683838,1
1859.600537,654.2228394,665.6472901,1249.984253,1558.484473,842.9797974,1
1860.615747,651.9472778,668.880835,1249.583008,1560.550635,844.2999023,1
1861.123315,652.5161621,669.3427612,1250.586035,1560.137402,844.2999023,1
1861.377124,652.8006226,668.8808472,1250.184814,1560.963867,844.1113159,1
1861.630957,655.3606201,674.1930908,1254.798804,1561.583716,844.4884888,1
1861.630932,657.9206177,676.9646973,1257.406714,1560.757251,844.1113159,1
1862.392334,661.6184204,681.8150024,1261.820068,1560.344018,844.1113159,1
1999.191138,687.5028687,658.4873169,1306.756104,1640.923242,848.8259521,1
2021.018067,692.622876,646.7079956,1299.534253,1645.262109,858.8209961,1
2021.271826,670.7206299,625.459021,1278.87168,1645.675293,862.2155517,1
2024.063599,664.4628418,613.4487305,1269.041919,1648.154687,864.6671753,1
2025.078833,664.4628662,610.4461548,1267.637671,1648.56792,865.6101074,1
2023.809815,661.0494996,599.8216797,1260.616406,1645.675293,863.5356567,1
2022.540869,656.2139526,590.1210449,1252.391528,1643.402588,861.0840332,1
2023.302246,660.7650635,592.1997559,1255.801856,1642.16294,862.0269653,1
2023.048462,653.9384034,582.2681763,1246.373266,1642.989404,863.7242432,1
2023.556031,655.3606201,582.9610596,1247.978149,1644.229028,863.9128296,1
2024.317408,642.2761719,569.1030274,1234.537475,1644.43562,863.7242432,1
2025.078833,653.3695068,580.6513916,1246.573901,1645.468677,863.7242432,1
2024.825025,650.2406128,574.8772217,1241.959961,1644.435645,863.9128296,1
2024.825025,656.7828369,579.9584961,1248.178784,1644.435645,863.1584839,1
2023.302222,665.6006226,590.1210449,1258.610352,1642.989404,862.4041382,1
2021.525635,673.5651001,593.3545654,1263.224316,1640.51001,861.4612061,1
2022.540821,672.7117432,592.6616699,1263.224341,1641.749707,861.6497925,1
2023.302246,667.5917359,587.1184692,1257.406689,1641.336475,861.4612061,1
2023.048438,665.8850708,583.1920288,1253.795752,1642.16294,861.8383789,1
2023.556006,659.911731,580.6513794,1250.98728,1642.782788,862.0269653,1
2083.453027,705.7073364,707.683313,1410.871289,1674.601196,848.2602173,1
2098.427344,711.9651123,696.8278564,1400.640308,1669.849097,846.7515259,1
