Vis_450nm,Vis_500nm,Vis_550nm,Vis_570nm,Vis_600nm,Vis_650nm,Nir_610nm,Nir_680nm,Nir_730nm,Nir_760nm,Nir_810nm,Nir_860nm,Blood_Prediction
1519.541113,81.26987457,31.69329567,25.45678215,68.61012268,39.40965652,2846.37915,49.49337997,55.6630806,154.4676361,2196.299853,1634.098389,0
1519.264527,81.88246155,31.26788292,25.64396438,68.00473938,39.40965652,2865.921826,50.34671478,57.51081848,160.2852478,2233.903564,1653.145581,0
1523.689844,79.02372284,31.90600204,25.45678215,68.00473938,38.69311676,2883.68794,50.34671478,59.3585556,168.3095398,2277.292285,1659.557519,0
1523.966431,77.39015503,31.69329567,25.26959991,67.60115051,38.45427017,2915.159278,51.76893921,62.13016052,181.7502319,2330.1854,1684.450855,0
1532.540478,74.12302399,32.96953583,24.70805321,66.79397277,37.49888458,2926.072705,52.62227249,64.43983231,191.1787781,2362.623633,1698.594849,0
1534.199976,64.73002472,33.18224259,23.39777756,67.60115051,35.82696152,2942.569678,54.32893982,66.74950409,204.6194763,2398.367774,1731.220215,0
1532.540454,71.2642868,32.5441227,24.70805321,66.99576721,37.7377304,2965.919482,55.75116425,71.83078156,219.6650238,2457.459131,1744.986987,0
1528.944898,74.12302704,31.05517616,24.52087097,71.23345184,38.21542358,2972.264502,56.88894272,74.83335266,232.3032837,2482.459375,1752.719067,0
1533.923389,78.61533203,31.69329567,25.45678215,67.80294494,39.17080993,2999.167432,58.59561005,79.22173004,247.7500458,2527.914355,1778.743896,0
1537.51897,80.04470062,31.69329567,25.83114662,68.61012268,39.40965652,2993.330029,57.17338715,75.75722351,231.7014618,2510.76543,1769.126001,0
1535.859473,85.76217956,32.54412231,26.7670578,68.20653381,39.8873497,2987.23877,56.32005386,75.29528809,227.8899231,2504.773682,1761.959766,0
1537.518945,95.15518188,34.88389663,28.82606239,67.19756164,39.8873497,3006.527637,58.59561081,78.99076233,243.5372925,2536.798731,1779.498242,0
1535.859448,98.83070526,35.94743042,29.01324463,66.99576721,40.12619629,3008.811865,58.88005524,82.22430115,250.3579407,2563.658447,1785.155859,0
1535.029712,98.21811676,37.86179123,29.76197357,67.80294495,39.40965652,3013.126465,58.88005524,83.84107361,253.5676636,2576.881689,1783.45857,0
1530.327807,98.83070374,37.22367096,29.57479134,66.18858948,39.40965652,3031.400146,60.58672409,86.84364471,262.7955963,2601.05542,1805.145972,0
1525.625903,104.1397904,37.64908447,30.32352028,67.19756165,39.8873497,3047.897217,60.87116928,89.84621735,270.4186707,2634.733447,1821.930102,0
1428.269092,50.43633041,22.33420181,16.28485317,75.87472229,41.55927277,3026.070361,141.937915,94.92749634,499.9134399,2179.77085,1699.349194,0
1403.929883,50.64052582,22.33420181,15.72330684,76.07651672,41.55927277,3014.395508,145.6356934,96.54426575,506.1322693,2178.737793,1691.617163,0
1375.71853,48.80276489,21.48337479,14.78739567,76.07651672,41.32042694,3004.243408,147.6268036,100.4707062,521.1778198,2189.275049,1685.016602,0
1366.867895,49.82374344,21.48337479,15.34894237,77.28728332,41.79811859,3015.410693,153.6001434,104.1661804,535.0197388,2207.870264,1684.073682,0
1368.804004,50.43632965,21.9087883,15.53612461,75.67292786,41.79811859,3010.334668,151.6090271,103.0113449,531.0075928,2202.498389,1684.828028,0
1377.378003,50.64052505,22.33420181,15.91048908,75.87472229,41.79811859,3013.380273,152.1779205,105.7829513,538.0288574,2214.068652,1684.450879,0
1376.824854,51.25311279,22.12149505,15.91048908,78.49804993,42.27581177,3010.334668,154.1690338,105.5519851,539.2324951,2209.523193,1683.130762,0
1372.95271,51.25311203,21.9087883,15.91048908,76.48010559,42.75350494,3016.17207,156.7290405,107.6306885,548.4604126,2220.26709,1687.468286,0
1374.888794,51.04891662,21.9087883,15.53612461,75.67292786,42.03696518,3034.69956,156.4445923,105.5519821,539.4330933,2218.200928,1691.428589,0
1368.25083,50.64052582,21.69608154,15.53612461,76.27831116,42.03696518,3040.537012,151.0401428,103.9352127,530.8069824,2221.713379,1698.594824,0
1370.463477,50.23213424,21.48337479,15.34894237,77.08548889,41.79811859,3057.034082,154.7379242,109.0164902,546.4543579,2250.019336,1704.063794,0
1373.505884,51.25311203,21.69608154,15.72330684,76.48010559,42.75350494,3049.927637,149.9023621,106.013919,533.8161133,2240.308545,1701.423608,0
1379.590649,48.59856949,21.27066803,14.9745779,78.09446259,41.79811859,3053.734619,155.0223694,106.2448868,540.6367432,2239.068896,1705.761059,0
1369.63374,49.21115646,21.27066803,14.9745779,76.27831116,42.27581177,3067.439892,157.5823761,107.6306885,547.457373,2248.986328,1713.115942,0
1367.421069,49.21115646,21.27066803,14.60021343,77.08548889,42.03696518,3058.810645,155.5912597,106.7068191,543.6458496,2241.341602,1706.892603,0
1358.017285,49.61954803,21.27066803,14.9745779,78.49805145,42.03696518,3053.734619,154.1690338,104.6281143,537.0258057,2231.217578,1705.195313,0
1354.698315,49.0069603,21.27066803,14.60021343,77.48907776,42.03696518,3067.439941,157.2979309,107.8616562,547.4573975,2245.887207,1709.532813,0
1371.016626,47.98598175,21.27066803,14.4130312,77.69087219,41.55927277,3076.322949,157.2979309,108.7855225,549.4634644,2256.217822,1715.944775,0
1380.697021,47.78178635,21.27066803,14.4130312,76.68190002,41.32042694,3067.439892,157.0134857,107.8616562,546.8555664,2252.705371,1713.870288,0
1455.374146,46.96500321,22.33420181,14.78739567,78.09446106,41.08158112,3069.977881,159.004599,110.1713257,553.6762085,2265.515381,1718.396362,0
2137.148535,46.7608078,74.23463287,26.7670578,85.9644516,18.39117298,2839.526562,914.4897615,763.3463928,2062.443897,3135.150928,1711.230103,0
2317.756592,60.03352585,44.24299049,24.52087097,99.48467866,39.88734932,2976.071484,121.742337,263.7644775,912.9639404,3016.761523,1753.284815,0
